rank,F_oral,Cmax_MIC,AUC_MIC,dose,fitness,Cmax,AUC,Ctrough,fCT,logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose_range
87,33.42375228994213,10.99837140762172,37.0210909960704,641.787990714254,0.6102573150837666,10.99837140762172,37.0210909960704,0.18142132365624683,32.640332640332645,1.501660166780508,50,49.99968218363281,30,20.000000030374178,50,30,1,1,401-700mg
189,33.3998511171002,11.081754911624596,37.301763232578296,647.1164015721841,0.610200445829385,11.081754911624596,37.301763232578296,0.18279675351946945,32.84823284823285,1.5000239142985106,50,49.999885038481956,30,20.000002175615375,49.99999999993895,30,1,1,401-700mg
106,33.38128826053743,11.145464961900172,37.51621725718078,651.19870189854,0.6101535423878551,11.145464961900172,37.51621725718078,0.18384768345241528,33.056133056133056,1.5016563621177417,50,49.99933340742836,30,20.000000031044397,50,30,1,1,401-700mg
128,33.36384338244397,11.204308390650207,37.7142961085011,654.9792012135191,0.610106979636778,11.204308390650207,37.7142961085011,0.18481836953733596,33.056133056133056,1.499881533268777,50,49.99753418799174,29.999999999999996,20.000000002690356,49.99999999999999,30,1,1,401-700mg
182,33.34863247885345,11.256342416705508,37.8894411675721,658.3210577241429,0.6100669713421345,11.256342416705508,37.8894411675721,0.18567666370454253,33.264033264033266,1.497629296845076,50.00013866087565,49.99839570518879,30,20,50,29.999999999598405,1,1,401-700mg
74,33.33339310348,11.307979902377943,38.06325486226399,661.643386304976,0.6100255005096762,11.307979902377943,38.06325486226399,0.18652843490519103,33.264033264033266,1.5007323880539878,50,49.99855867036609,29.99999927850857,20.000002133575073,50,30,1,1,401-700mg
144,33.26029502530169,11.549255693597644,38.875407218741536,677.245971904296,0.609808211301156,11.549255693597644,38.875407218741536,0.19050837803260823,33.88773388773389,1.504556984014948,50.001881064496224,49.99996100027783,29.997533698321412,20.00000006956006,50,30,1,1,401-700mg
194,33.26029502530169,11.549255693597644,38.875407218741536,677.245971904296,0.609808211301156,11.549255693597644,38.875407218741536,0.19050837803260823,33.88773388773389,1.504556984014948,50.001881064496224,49.99996100027783,29.997533698321412,20.00000000142459,50,30,1,1,401-700mg
70,33.289050165017755,11.366346890208762,38.260615666317356,665.9598965588694,0.6097515981362918,11.366346890208762,38.260615666317356,0.18749595665065857,33.471933471933475,1.4976576979115401,50.0000137264151,49.986759740675915,29.83154603463736,20,50,29.99999969701407,1,1,401-700mg
61,33.19036153305801,11.764595416810815,39.600246327376944,691.3269402094592,0.6095634064371191,11.764595416810815,39.600246327376944,0.1940604394056036,34.303534303534306,1.4737712756748536,50.000000000019234,49.99884720196291,29.999781416053008,20,49.99999999994771,30,1,1,401-700mg
142,33.16737484800833,11.848521212922295,39.88273819931656,696.7411256459101,0.6095014987950211,11.848521212922295,39.88273819931656,0.19544478406526025,34.511434511434516,1.5014639554157454,50,49.99993759763424,30,20.000001001497925,50,29.999999999967066,1,1,401-700mg
176,33.16727361825612,11.84830732749279,39.882024426107556,696.730782162664,0.609500294334355,11.84830732749279,39.882024426107556,0.1954412887021482,34.511434511434516,1.50026812032065,50,49.99874296048394,29.999999999988013,20,49.999999999999744,29.999999999967176,1,1,401-700mg
71,33.204211631242174,11.64977666216663,39.21462115960509,684.309202373955,0.6094970614322126,11.64977666216663,39.21462115960509,0.1921710332868644,34.0956340956341,1.5002042587119568,50.00208285794002,49.99996100027783,29.829413905960116,20,50,29.99999970601469,1,1,401-700mg
65,33.23487235524755,11.434382271726838,38.49075964403164,671.0578036209893,0.6094087290488641,11.434382271726838,38.49075964403164,0.18862422724236236,33.679833679833685,1.500176523646054,50,49.59261035985581,30,20.000000325461517,50,29.999999999999996,1,1,401-700mg
117,33.11754211654803,12.003537728206958,40.404533460769414,706.918872807048,0.6093199062106316,12.003537728206958,40.404533460769414,0.19800183487416112,34.92723492723493,1.5000397103226257,50.000000087531234,49.99962943887904,29.99999992927556,20.0000000000033,50,29.99999999999558,1,1,701-1000mg
51,33.46475982339571,10.241054081379545,34.47508950392742,596.9185430983313,0.6093120964552324,10.241054081379545,34.47508950392742,0.16894594704723745,30.97713097713098,1.3876920603861305,50,50.697538322845666,28.594608035851156,20,49.99999999759241,30,1,1,401-700mg
110,33.09392888174991,12.075599169217284,40.64709423128815,711.670153140289,0.6092296598769875,12.075599169217284,40.64709423128815,0.1991904997216368,34.92723492723493,1.506079271192633,50.00000448896915,49.99996999642131,30,20,50,30,1,1,701-1000mg
125,33.348495329887186,10.67442645044762,35.935892857836855,624.3806896407234,0.6091043512010396,10.67442645044762,35.935892857836855,0.17610541151531495,32.016632016632016,1.5048300024159713,50.01498352907216,49.997736345353466,28.8853146454421,20.53955409876244,49.99999999999999,29.999999999999993,1,1,401-700mg
160,33.06863412016895,12.133136437261808,40.8409984014896,715.6120722147352,0.6091009456353337,12.133136437261808,40.8409984014896,0.2001408166683393,35.13513513513514,1.5006799190209739,50,50.004783159084184,29.951609803798195,20.00000220560643,49.9999999858019,30,1,1,701-1000mg
198,33.06863412016895,12.133136437261808,40.8409984014896,715.6120722147352,0.6091009456353337,12.133136437261808,40.8409984014896,0.2001408166683393,35.13513513513514,1.5006799190209739,50,50.004783159084184,29.951609803798195,20,49.9999999858019,30,1,1,701-1000mg
85,33.08673963754355,11.96477254070329,40.27555290170435,705.3181084415022,0.6089942071449644,11.96477254070329,40.27555290170435,0.19737036974871064,34.71933471933472,1.5000092259717095,50,49.99719697828228,29.714381568850026,20.000011371764295,50,30,1,1,701-1000mg
92,33.13585606099428,11.682996674195419,39.32842207477268,687.7106487216128,0.6089705564266072,11.682996674195419,39.32842207477268,0.19272950516261766,34.0956340956341,1.5013769489871045,50.00001678396402,49.44213578003856,29.999999978589184,20.00000003999653,49.99999999999993,30,1,1,401-700mg
47,33.021241310302784,12.294808836885265,41.38496942927413,726.1842423568211,0.6089398190423484,12.294808836885265,41.38496942927413,0.20280644812746532,35.550935550935556,1.5001938963654835,50,49.999211936073905,29.999999999987807,20.000002125902405,49.999999999999744,30,1,1,701-1000mg
197,32.99731601164032,12.359308027374674,41.60207310888886,730.5230675642547,0.6088300036591446,12.359308027374674,41.60207310888886,0.2038703600020067,35.550935550935556,1.5212692629521798,50.00001791164675,49.999947743165755,30,20.00000014405944,50,29.999997648360154,1,1,701-1000mg
